                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.0235,                 1.5602,                 1.4344,                  2.094,                 1.9147,                  1.267,                0.33985,                0.59251,                0.37805,                0.13669,                 2.0956,                  1.844,                 1.6866,                 2.0079,                 2.4195,                 1.5133,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.9636,                 1.5669,                 1.3943,                 2.0768,                 1.9572,                 1.2511,                 0.3383,                0.60186,                0.42517,                0.15494,                 2.0997,                 1.7741,                 1.6634,                 2.0101,                 2.3478,                 1.5014,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.9864,                 1.5057,                 1.3906,                 2.1161,                 1.8394,                 1.2346,                0.30459,                0.62668,                0.40756,                0.15026,                 2.1027,                 1.7642,                 1.6556,                 2.0167,                 2.3838,                 1.5061,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.9673,                 1.5232,                 1.3928,                 2.0884,                 1.8801,                 1.2704,                0.27019,                 0.6685,                0.39588,                0.13732,                 2.1005,                 1.7407,                 1.6547,                 1.9999,                 2.4474,                 1.4955,             0.00047876,             0.00047876,             0.00047876
                     75,                  1.988,                  1.541,                 1.3983,                 2.0404,                 1.9218,                 1.2419,                0.25737,                0.66022,                 0.3564,                0.12774,                 2.1016,                 1.7835,                 1.6718,                  1.998,                 2.5024,                 1.5047,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.0134,                  1.555,                 1.4392,                 2.0711,                 1.8947,                 1.2726,                0.22655,                0.62214,                0.31952,                0.11033,                 2.1472,                 1.8059,                 1.6918,                 2.0081,                 2.5761,                 1.5536,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.0262,                 1.5242,                 1.4231,                 2.0909,                 1.9097,                 1.2693,                0.26673,                0.58915,                0.34817,                0.13113,                 2.1286,                 1.8409,                 1.6879,                 2.0114,                 2.5397,                  1.534,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.9944,                 1.5742,                 1.4112,                 2.0844,                 1.9609,                 1.2521,                0.29245,                0.52601,                0.37002,                0.13901,                 2.1395,                 1.8809,                 1.6946,                 2.0483,                 2.6222,                  1.534,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.0038,                 1.5195,                 1.4326,                 2.0476,                 1.8753,                 1.2619,                 0.3083,                0.56314,                0.35351,                0.13819,                 2.1075,                 1.8833,                 1.6722,                 1.9973,                 2.6437,                 1.5275,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.9581,                 1.5147,                 1.3765,                 2.0601,                 1.8202,                 1.2088,                0.30356,                0.54845,                0.40022,                0.15121,                 2.0831,                 1.8064,                 1.6553,                 1.9949,                 2.5236,                 1.5092,             0.00037974,             0.00037974,             0.00037974
